code,name,down_date,up_date,last_date,last_close,last_ma120,window_days,ma_window
688707,振华新材,2026-01-12,2026-01-19,2026-01-20,14.7200,14.8331,20,120
688391,钜泉科技,2026-01-13,2026-01-14,2026-01-20,32.2600,30.7943,20,120
688171,纬德信息,2025-12-18,2025-12-30,2026-01-16,56.0800,46.6643,20,120
688190,云路股份,2026-01-14,2026-01-16,2026-01-16,104.9500,103.9481,20,120
688339,亿华通-U,2025-12-31,2026-01-05,2026-01-20,32.5600,27.9343,20,120
688013,天臣医疗,2025-12-23,2025-12-25,2026-01-16,47.6700,50.7363,20,120
688035,德邦科技,2025-12-30,2026-01-05,2026-01-16,53.2100,49.8733,20,120
688215,瑞晟智能,2026-01-14,2026-01-15,2026-01-16,75.9800,71.0084,20,120
688268,华特气体,2025-12-19,2025-12-22,2026-01-19,69.2500,60.1860,20,120
688657,浩辰软件,2025-12-26,2025-12-31,2026-01-20,59.2300,54.5829,20,120
688639,华恒生物,2025-12-22,2026-01-06,2026-01-20,37.3800,35.1353,20,120
688690,纳微科技,2026-01-16,2026-01-19,2026-01-20,27.7100,27.4363,20,120
688066,航天宏图,2025-12-22,2025-12-24,2026-01-16,41.3700,29.6819,20,120
688126,沪硅产业,2025-12-29,2025-12-31,2026-01-16,23.1300,21.8880,20,120
688582,芯动联科,2025-12-29,2026-01-05,2026-01-20,69.9000,68.4233,20,120
688281,华秦科技,2025-12-23,2025-12-24,2026-01-20,96.6600,70.6969,20,120
688798,艾为电子,2026-01-13,2026-01-16,2026-01-20,82.0000,80.1982,20,120
688380,中微半导,2025-12-31,2026-01-05,2026-01-20,41.3500,33.0000,20,120
688620,安凯微,2026-01-15,2026-01-16,2026-01-20,12.6600,12.5972,20,120
688518,联赢激光,2025-12-26,2025-12-29,2026-01-20,30.0500,24.6796,20,120
688209,英集芯,2025-12-19,2025-12-22,2026-01-16,22.7000,20.8908,20,120
688033,天宜新材,2025-12-23,2025-12-24,2026-01-16,8.2000,6.9756,20,120
688521,芯原股份,2025-12-25,2025-12-30,2026-01-20,186.2800,144.2698,20,120
688290,景业智能,2025-12-23,2025-12-25,2026-01-20,59.5100,60.0274,20,120
688560,明冠新材,2025-12-30,2026-01-06,2026-01-20,19.2300,15.0554,20,120
688103,国力电子,2025-12-22,2026-01-07,2026-01-16,67.5000,65.0176,20,120
688332,中科蓝讯,2025-12-26,2025-12-29,2026-01-20,147.2800,130.1079,20,120
688553,汇宇制药-W,2026-01-12,2026-01-13,2026-01-20,20.4100,21.5425,20,120
688269,凯立新材,2025-12-22,2025-12-23,2026-01-19,41.8100,39.1699,20,120
688597,煜邦电力,2025-12-22,2025-12-25,2026-01-20,9.9200,8.5383,20,120
688073,毕得医药,2026-01-08,2026-01-09,2026-01-16,70.3100,67.9399,20,120
688297,中无人机,2026-01-16,2026-01-19,2026-01-20,49.7200,50.2283,20,120
688577,浙海德曼,2025-12-23,2025-12-30,2026-01-20,88.0800,101.9270,20,120
688025,杰普特,2026-01-13,2026-01-16,2026-01-16,145.0000,137.5253,20,120
688721,龙图光罩,2025-12-29,2026-01-07,2026-01-20,50.3000,48.3083,20,120
688360,德马科技,2025-12-26,2025-12-30,2026-01-20,22.1900,21.9578,20,120
688583,思看科技,2025-12-30,2026-01-05,2026-01-20,100.5700,94.4520,20,120
688306,均普智能,2025-12-26,2025-12-29,2026-01-20,11.7700,11.6517,20,120
688362,甬矽电子,2025-12-26,2025-12-29,2026-01-20,49.6700,34.1389,20,120
688062,迈威生物-U,2026-01-14,2026-01-16,2026-01-16,43.2400,43.0613,20,120
688538,和辉光电-U,2025-12-23,2025-12-24,2026-01-20,2.6800,2.7018,20,120
688051,佳华科技,2025-12-24,2025-12-25,2026-01-16,40.7000,40.5630,20,120
688117,圣诺生物,2025-12-23,2025-12-25,2026-01-16,42.6400,40.4249,20,120
688722,同益中,2025-12-31,2026-01-05,2026-01-20,20.3200,19.4598,20,120
688443,智翔金泰-U,2026-01-15,2026-01-16,2026-01-20,29.6000,30.5379,20,120
688591,泰凌微,2026-01-13,2026-01-14,2026-01-20,47.3900,48.2286,20,120
688047,龙芯中科,2025-12-23,2025-12-24,2026-01-16,145.0400,137.6017,20,120
688767,博拓生物,2025-12-26,2025-12-29,2026-01-20,40.1000,40.5696,20,120
688621,阳光诺和,2025-12-29,2026-01-05,2026-01-20,73.2600,67.4988,20,120
688229,博睿数据,2026-01-06,2026-01-08,2026-01-16,70.1000,65.2199,20,120
688512,慧智微-U,2026-01-13,2026-01-15,2026-01-20,12.0300,11.7579,20,120
688056,莱伯泰科,2026-01-13,2026-01-16,2026-01-16,36.6500,36.0704,20,120
688107,安路科技,2026-01-13,2026-01-14,2026-01-16,29.4800,28.7061,20,120
688334,西高院,2025-12-23,2025-12-24,2026-01-20,25.9900,19.6641,20,120
688111,金山办公,2025-12-19,2026-01-05,2026-01-16,353.2900,313.9983,20,120
688216,气派科技,2026-01-13,2026-01-15,2026-01-16,25.7900,24.2890,20,120
688006,杭可科技,2025-12-19,2025-12-22,2026-01-16,33.2500,29.5035,20,120
688108,赛诺医疗,2026-01-06,2026-01-12,2026-01-16,23.7700,23.7578,20,120
