code,name,market,secid,updated_at
689009,九号公司-WD,1,1.689009,2026-01-20 20:43:31
688981,中芯国际,1,1.688981,2026-01-20 20:43:31
688819,天能股份,1,1.688819,2026-01-20 20:43:31
688809,强一股份,1,1.688809,2026-01-20 20:43:31
688807,优迅股份,1,1.688807,2026-01-20 20:43:31
688805,健信超导,1,1.688805,2026-01-20 20:43:31
688802,沐曦股份-U,1,1.688802,2026-01-20 20:43:31
688800,瑞可达,1,1.688800,2026-01-20 20:43:31
688799,华纳药厂,1,1.688799,2026-01-20 20:43:31
688798,艾为电子,1,1.688798,2026-01-20 20:43:31
688796,百奥赛图,1,1.688796,2026-01-20 20:43:31
688795,摩尔线程-U,1,1.688795,2026-01-20 20:43:31
688793,倍轻松,1,1.688793,2026-01-20 20:43:31
688790,昂瑞微-UW,1,1.688790,2026-01-20 20:43:31
688789,宏华数科,1,1.688789,2026-01-20 20:43:31
688788,科思科技,1,1.688788,2026-01-20 20:43:31
688787,海天瑞声,1,1.688787,2026-01-20 20:43:31
688786,悦安新材,1,1.688786,2026-01-20 20:43:31
688785,恒运昌,1,1.688785,2026-01-20 20:43:31
688783,西安奕材-U,1,1.688783,2026-01-20 20:43:31
688779,五矿新能,1,1.688779,2026-01-20 20:43:31
688778,厦钨新能,1,1.688778,2026-01-20 20:43:31
688777,中控技术,1,1.688777,2026-01-20 20:43:31
688776,国光电气,1,1.688776,2026-01-20 20:43:31
688775,影石创新,1,1.688775,2026-01-20 20:43:31
688772,珠海冠宇,1,1.688772,2026-01-20 20:43:31
688768,容知日新,1,1.688768,2026-01-20 20:43:31
688767,博拓生物,1,1.688767,2026-01-20 20:43:31
688766,普冉股份,1,1.688766,2026-01-20 20:43:31
688765,禾元生物-U,1,1.688765,2026-01-20 20:43:31
688759,必贝特-U,1,1.688759,2026-01-20 20:43:31
688758,赛分科技,1,1.688758,2026-01-20 20:43:31
688757,胜科纳米,1,1.688757,2026-01-20 20:43:31
688755,汉邦科技,1,1.688755,2026-01-20 20:43:31
688750,金天钛业,1,1.688750,2026-01-20 20:43:31
688739,成大生物,1,1.688739,2026-01-20 20:43:31
688737,中自科技,1,1.688737,2026-01-20 20:43:31
688733,壹石通,1,1.688733,2026-01-20 20:43:31
688729,屹唐股份,1,1.688729,2026-01-20 20:43:31
688728,格科微,1,1.688728,2026-01-20 20:43:31
688727,恒坤新材,1,1.688727,2026-01-20 20:43:31
688726,拉普拉斯,1,1.688726,2026-01-20 20:43:31
688722,同益中,1,1.688722,2026-01-20 20:43:31
688721,龙图光罩,1,1.688721,2026-01-20 20:43:31
688720,艾森股份,1,1.688720,2026-01-20 20:43:31
688719,爱科赛博,1,1.688719,2026-01-20 20:43:31
688718,唯赛勃,1,1.688718,2026-01-20 20:43:31
688717,艾罗能源,1,1.688717,2026-01-20 20:43:31
688716,中研股份,1,1.688716,2026-01-20 20:43:31
688712,北芯生命,1,1.688712,2026-01-20 20:43:31
688711,宏微科技,1,1.688711,2026-01-20 20:43:31
688710,益诺思,1,1.688710,2026-01-20 20:43:31
688709,成都华微,1,1.688709,2026-01-20 20:43:31
688708,佳驰科技,1,1.688708,2026-01-20 20:43:31
688707,振华新材,1,1.688707,2026-01-20 20:43:31
688702,盛科通信-U,1,1.688702,2026-01-20 20:43:31
688701,卓锦股份,1,1.688701,2026-01-20 20:43:31
688700,东威科技,1,1.688700,2026-01-20 20:43:31
688699,明微电子,1,1.688699,2026-01-20 20:43:31
688698,伟创电气,1,1.688698,2026-01-20 20:43:31
688697,纽威数控,1,1.688697,2026-01-20 20:43:31
688696,极米科技,1,1.688696,2026-01-20 20:43:31
688695,中创股份,1,1.688695,2026-01-20 20:43:31
688693,锴威特,1,1.688693,2026-01-20 20:43:31
688692,达梦数据,1,1.688692,2026-01-20 20:43:31
688691,灿芯股份,1,1.688691,2026-01-20 20:43:31
688690,纳微科技,1,1.688690,2026-01-20 20:43:31
688689,银河微电,1,1.688689,2026-01-20 20:43:31
688687,凯因科技,1,1.688687,2026-01-20 20:43:31
688686,奥普特,1,1.688686,2026-01-20 20:43:31
688685,迈信林,1,1.688685,2026-01-20 20:43:31
688683,莱尔科技,1,1.688683,2026-01-20 20:43:31
688682,霍莱沃,1,1.688682,2026-01-20 20:43:31
688681,科汇股份,1,1.688681,2026-01-20 20:43:31
